SELLER,PLATFORM,PRODUCT_TITLE,URL,BRAND,MODEL,GRADE,GRADE_RAW,GRADE_NORMALIZED,BALL_COUNT,PRICE,DISCOUNT_PRICE,SHIPPING_FEE,FREE_SHIPPING_THRESHOLD,EFFECTIVE_PRICE,PRICE_PER_BALL,PRICE_PER_BALL_BASIS,REVIEW_COUNT,RATING,SALES_SIGNAL,DELIVERY_PROMISE,RETURN_POLICY_SIGNAL,PRODUCT_POSITIONING,CAPTURE_DATE,DUPLICATE_GROUP_ID,CONFLICT_FLAG,SOURCE_ID,DATA_CONFIDENCE
로스트볼 코리아,독립 골프용품 쇼핑몰,[중고] 타이틀리스트 Pro V1 3피스 AA등급 10개 로스트볼,https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,Pro V1 3피스,AA등급,AA등급,AA,10,43500.0,20000.0,,,,2000.0,listing_sale_price_only_shipping_unknown,6.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-01,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,"[중고] 타이틀리스트 Pro V1, AVX 3피스 A등급 30개 로스트볼",https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,"Pro V1, AVX 3피스 혼합",A등급,A등급,A,30,72000.0,45000.0,,,,1500.0,listing_sale_price_only_shipping_unknown,7.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-02,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,"[중고] 타이틀리스트 Pro V1, AVX 3피스 A-등급 30개 로스트볼",https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,"Pro V1, AVX 3피스 혼합",A-등급,A-등급,A-,30,52800.0,33000.0,,,,1100.0,listing_sale_price_only_shipping_unknown,14.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-03,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,[중고] 타이틀리스트 Pro V1x 4피스 AA등급 10개 로스트볼,https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,Pro V1x 4피스,AA등급,AA등급,AA,10,54000.0,20000.0,,,,2000.0,listing_sale_price_only_shipping_unknown,6.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-04,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,[중고] 타이틀리스트 Pro V1X 4피스 A등급 30개 로스트볼,https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,Pro V1X 4피스,A등급,A등급,A,30,72000.0,45000.0,,,,1500.0,listing_sale_price_only_shipping_unknown,5.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-05,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,[중고] 타이틀리스트 Pro V1X 4피스 A-등급 30개 로스트볼,https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,Pro V1X 4피스,A-등급,A-등급,A-,30,52800.0,33000.0,,,,1100.0,listing_sale_price_only_shipping_unknown,9.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-06,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,"[중고] 타이틀리스트 ProV1,AVX, ProV1x 혼합 B+등급 50개 로스트볼",https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,Pro V1/AVX/Pro V1x 혼합,B+등급,B+등급,B+,50,60000.0,37500.0,,,,750.0,listing_sale_price_only_shipping_unknown,10.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-07,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,"[중고] 타이틀리스트 Pro V1, Pro V1x, AVX 옐로우 혼합 A-등급 30개 로스트볼",https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,Pro V1/Pro V1x/AVX 옐로우 혼합,A-등급,A-등급,A-,30,57600.0,36000.0,,,,1200.0,listing_sale_price_only_shipping_unknown,7.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-08,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,[중고] 타이틀리스트 모델 혼합볼 2피스 A-급 30개 로스트볼,https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,모델 혼합 2피스,A-급,A-급,A-,30,49600.0,24500.0,,,,816.6666666666666,listing_sale_price_only_shipping_unknown,7.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-09,NONE,S1,HIGH
로스트볼 코리아,독립 골프용품 쇼핑몰,[중고] 타이틀리스트 컬러볼 A-등급 20개 로스트볼,https://lostballkorea.com/category/%ED%83%80%EC%9D%B4%ED%8B%80%EB%A6%AC%EC%8A%A4%ED%8A%B8/43/,타이틀리스트,컬러볼 혼합,A-등급,A-등급,A-,20,27200.0,17000.0,,,,850.0,listing_sale_price_only_shipping_unknown,11.0,,UNKNOWN,UNKNOWN,UNKNOWN,타이틀리스트 모델·등급·수량 세분화,2026-08-23,S1-10,NONE,S1,HIGH
